MURRAY,353,259,6,0.02186545233
ANDY,354,257,4,0.02169660714
AUGUST,354,257,6,0.02169660714
ALONZO,356,256,6,0.02161218454
MAYNARD,356,256,7,0.02161218454
LANCE,358,254,5,0.02144333935
MELVYN,358,254,6,0.02144333935
TERRANCE,358,254,8,0.02144333935
CAROL,361,253,5,0.02135891676
ED,362,251,2,0.02119007157
MARCUS,362,251,6,0.02119007157
MERLIN,364,249,6,0.02102122637
ERROL,365,246,5,0.02076795859
AUSTIN,366,245,6,0.02068353599
LUIS,367,242,4,0.0204302682
THURMAN,368,241,7,0.02034584561
SANFORD,369,240,7,0.02026142301
ELTON,370,237,5,0.02000815522
ADRIAN,370,237,6,0.02000815522
DOMINICK,372,236,8,0.01992373263
MONTE,373,233,5,0.01967046484
DOMINIC,373,233,7,0.01967046484
DWAYNE,375,231,6,0.01950161965
LAVERNE,375,231,7,0.01950161965
JOHNIE,377,230,6,0.01941719705
IRWIN,378,229,5,0.01933277446
ADAM,379,227,4,0.01916392926
OTTO,379,227,4,0.01916392926
DELMAR,379,227,6,0.01916392926
BRADLEY,379,227,7,0.01916392926
NOLAN,383,222,5,0.01874181628
JASPER,384,221,6,0.01865739369
CARMEN,385,220,6,0.01857297109
ABRAHAM,386,219,7,0.0184885485
GERRY,387,216,5,0.01823528071
MERRILL,388,215,7,0.01815085811
RON,389,214,3,0.01806643552
SHIRLEY,389,214,7,0.01806643552
WILEY,391,213,5,0.01798201292
ROSCOE,391,213,6,0.01798201292
LAMAR,393,212,5,0.01789759033
TRUMAN,394,210,6,0.01772874513
WILL,395,209,4,0.01764432254
MILLARD,395,209,7,0.01764432254
ODELL,397,208,5,0.01755989994
SALVADOR,397,208,8,0.01755989994
RICARDO,399,207,7,0.01747547735
LORENZO,400,206,7,0.01739105475
NORRIS,401,205,6,0.01730663215
WELDON,402,204,6,0.01722220956
STERLING,402,204,8,0.01722220956
ELIJAH,404,201,6,0.01696894177
CHARLEY,404,201,7,0.01696894177
BRYAN,406,200,5,0.01688451918
ELVIN,406,200,5,0.01688451918
ROBIN,406,200,5,0.01688451918
OLLIE,409,198,5,0.01671567398
HOLLIS,410,197,6,0.01663125139
ELLIOTT,410,197,7,0.01663125139
FREDERIC,410,197,8,0.01663125139
HAL,413,196,3,0.01654682879
MONROE,413,196,6,0.01654682879
KURT,415,194,4,0.0163779836
BARNEY,415,194,6,0.0163779836
GUADALUPE,415,194,9,0.0163779836
COY,418,193,3,0.016293561
SIMON,418,193,5,0.016293561
ARMANDO,418,193,7,0.016293561
GABRIEL,418,193,7,0.016293561
HECTOR,422,192,6,0.01620913841
KENNITH,422,192,7,0.01620913841
GAIL,424,190,4,0.01604029322
REUBEN,424,190,6,0.01604029322
DENNY,426,187,5,0.01578702543
EMORY,427,186,5,0.01570260283
BUFORD,427,186,6,0.01570260283
EMANUEL,427,186,7,0.01570260283
ERWIN,430,184,5,0.01553375764
WILBURN,430,184,7,0.01553375764
JEROLD,432,182,6,0.01536491245
RANDY,433,181,5,0.01528048985
HARRISON,434,178,8,0.01502722207
JAKE,435,177,4,0.01494279947
SHELBY,435,177,6,0.01494279947
VAN,437,176,3,0.01485837687
ADOLPH,437,176,6,0.01485837687
CLAIR,439,175,5,0.01477395428
LAVERN,440,174,6,0.01468953168
ROLLAND,440,174,7,0.01468953168
ERNIE,442,172,5,0.01452068649
JESS,443,170,4,0.0143518413
GALEN,443,170,5,0.0143518413
CARROL,443,170,6,0.0143518413
MIGUEL,443,170,6,0.0143518413
ALFREDO,447,169,7,0.0142674187
RENE,448,168,4,0.01418299611
JACKSON,449,167,7,0.01409857351
AL,450,166,2,0.01401415092
VERN,451,165,4,0.01392972832
VANCE,451,165,5,0.01392972832
LEVI,453,164,4,0.01384530572
FERNANDO,453,164,8,0.01384530572
LINWOOD,455,163,7,0.01376088313
ARTURO,456,162,6,0.01367646053
RODERICK,456,162,8,0.01367646053
CLEMENT,458,160,7,0.01350761534
CONNIE,459,159,6,0.01342319274
HARRIS,460,158,6,0.01333877015
WILMER,460,158,6,0.01333877015
BOOKER,462,156,6,0.01316992496
DUDLEY,462,156,6,0.01316992496
DEWAYNE,462,156,7,0.01316992496
WINFRED,465,155,7,0.01308550236
HERSHEL,466,154,7,0.01300107977
ULYSSES,466,154,7,0.01300107977
GUS,468,153,3,0.01291665717
RUSSEL,469,152,6,0.01283223457
JEAN,470,151,4,0.01274781198
NOAH,471,150,4,0.01266338938
MILES,471,150,5,0.01266338938
RILEY,471,150,5,0.01266338938
MERVIN,471,150,6,0.01266338938
SOLOMON,471,150,7,0.01266338938
GEOFFREY,476,148,8,0.01249454419
RONNY,477,147,5,0.01241012159
ARMAND,478,145,6,0.0122412764
FREDRIC,478,145,7,0.0122412764
JERROLD,478,145,7,0.0122412764
EMERY,481,144,5,0.01215685381
WILFORD,482,143,7,0.01207243121
DANA,483,142,4,0.01198800861
WARD,483,142,4,0.01198800861
KELLY,483,142,5,0.01198800861
DENVER,483,142,6,0.01198800861
VAUGHN,487,141,6,0.01190358602
ALPHONSO,487,141,8,0.01190358602
ELI,489,140,3,0.01181916342
CLEO,489,140,4,0.01181916342
BASIL,489,140,5,0.01181916342
DICKIE,489,140,6,0.01181916342
BARBARA,489,140,7,0.01181916342
PATRICIA,489,140,8,0.01181916342
GAYLE,495,139,5,0.01173474083
ALBERTO,495,139,7,0.01173474083
ALVA,497,137,4,0.01156589564
MILFORD,497,137,7,0.01156589564
TERENCE,499,136,7,0.01148147304
BLAINE,500,135,6,0.01139705044
CARY,501,134,4,0.01131262785
DELMER,501,134,6,0.01131262785
HERSCHEL,503,133,8,0.01122820525
MORTON,504,132,6,0.01114378266
KIRK,505,131,4,0.01105936006
GEARLD,505,131,6,0.01105936006
MORGAN,507,130,6,0.01097493746
TRACY,508,129,5,0.01089051487
LENARD,508,129,6,0.01089051487
CLAY,510,128,4,0.01080609227
DALTON,510,128,6,0.01080609227
JEFFERY,510,128,7,0.01080609227
EARLE,513,127,5,0.01072166968
MAJOR,513,127,5,0.01072166968
ROYAL,513,127,5,0.01072166968
GAYLORD,513,127,7,0.01072166968
EVAN,517,126,4,0.01063724708
EMERSON,517,126,7,0.01063724708
HOUSTON,517,126,7,0.01063724708
BRADFORD,517,126,8,0.01063724708
ROMAN,521,125,5,0.01055282448
KAY,522,124,3,0.01046840189
FOREST,522,124,6,0.01046840189
CHUCK,524,123,5,0.01038397929
ROCCO,524,123,5,0.01038397929
ENRIQUE,524,123,7,0.01038397929
EVERETTE,524,123,8,0.01038397929
MARC,528,122,4,0.0102995567
DOMINGO,528,122,7,0.0102995567
ERNESTO,528,122,7,0.0102995567
RODOLFO,528,122,7,0.0102995567
CYRIL,532,121,5,0.0102151341
MONTY,532,121,5,0.0102151341
FREEMAN,532,121,7,0.0102151341
THADDEUS,532,121,8,0.0102151341
ODIS,536,120,4,0.01013071151
SILAS,536,120,5,0.01013071151
DANNIE,536,120,6,0.01013071151
JEREMIAH,539,119,8,0.01004628891
DAVIS,540,118,5,0.009961866313
RAFAEL,540,118,6,0.009961866313
TERRELL,540,118,7,0.009961866313
SHERWOOD,540,118,8,0.009961866313
LYMAN,544,117,5,0.009877443718
ALDEN,545,116,5,0.009793021122
ANDRE,545,116,5,0.009793021122
BERNIE,545,116,6,0.009793021122
WINDELL,545,116,7,0.009793021122
LUKE,549,115,4,0.009708598526
HIRAM,549,115,5,0.009708598526
BARTON,549,115,6,0.009708598526
ORLANDO,549,115,7,0.009708598526
BETTY,553,114,5,0.00962417593
JULIO,553,114,5,0.00962417593
BURL,555,113,4,0.009539753334
ARLEN,555,113,5,0.009539753334
ISAIAH,555,113,6,0.009539753334
ROGERS,555,113,6,0.009539753334
JERE,559,112,4,0.009455330738
CLAUD,559,112,5,0.009455330738
KERRY,559,112,5,0.009455330738
ELROY,562,111,5,0.009370908142
SONNY,562,111,5,0.009370908142
TOMAS,562,111,5,0.009370908142
VITO,565,110,4,0.009286485546
DWAIN,565,110,5,0.009286485546
KENDALL,565,110,7,0.009286485546
PABLO,568,109,5,0.009202062951
DEXTER,568,109,6,0.009202062951
WARNER,568,109,6,0.009202062951
GARRETT,568,109,7,0.009202062951
PASQUALE,568,109,8,0.009202062951
TALMADGE,568,109,8,0.009202062951
GILBERTO,574,108,8,0.009117640355
ANTON,575,106,5,0.008948795163
CARSON,575,106,6,0.008948795163
JOESPH,575,106,6,0.008948795163
WILTON,575,106,6,0.008948795163
BRYANT,579,105,6,0.008864372567
CARMINE,579,105,7,0.008864372567
ARDEN,581,104,5,0.008779949971
ELMO,582,103,4,0.008695527375
HUEY,582,103,4,0.008695527375
ELIAS,582,103,5,0.008695527375
BOYCE,585,102,5,0.008611104779
KIRBY,585,102,5,0.008611104779
HARMON,585,102,6,0.008611104779
JEFFERSON,585,102,9,0.008611104779
ABEL,589,101,4,0.008526682184
OLEN,589,101,4,0.008526682184
ALPHONSE,589,101,8,0.008526682184
LUPE,592,100,4,0.008442259588
MILO,592,100,4,0.008442259588
ORVAL,592,100,5,0.008442259588
SHELTON,592,100,7,0.008442259588
ANDERSON,592,100,8,0.008442259588
DEE,597,99,3,0.008357836992
BENNETT,597,99,7,0.008357836992
CHRISTIAN,597,99,9,0.008357836992
EDDY,600,97,4,0.0081889918
JULES,600,97,5,0.0081889918
BUD,602,96,3,0.008104569204
CAREY,602,96,5,0.008104569204
CLETUS,602,96,6,0.008104569204
FELTON,602,96,6,0.008104569204
RAYFORD,602,96,7,0.008104569204
ARTHER,607,95,6,0.008020146608
BUSTER,607,95,6,0.008020146608
HILTON,607,95,6,0.008020146608
REYNALDO,607,95,8,0.008020146608
AUGUSTINE,607,95,9,0.008020146608
KYLE,612,94,4,0.007935724012
OLIN,612,94,4,0.007935724012
FELIPE,612,94,6,0.007935724012
BEVERLY,612,94,7,0.007935724012
AUGUSTUS,612,94,8,0.007935724012
JASON,617,93,5,0.007851301417
RAYMON,617,93,6,0.007851301417
NORMAND,617,93,7,0.007851301417
FLETCHER,617,93,8,0.007851301417
HAYWOOD,621,92,7,0.007766878821
REED,622,91,4,0.007682456225
BENITO,622,91,6,0.007682456225
EMILIO,622,91,6,0.007682456225
THERON,622,91,6,0.007682456225
LON,626,90,3,0.007598033629
ANGEL,626,90,5,0.007598033629
SANDY,626,90,5,0.007598033629
FOSTER,626,90,6,0.007598033629
JOSHUA,626,90,6,0.007598033629
ARLIE,631,89,5,0.007513611033
ELLIOT,631,89,6,0.007513611033
MATHEW,631,89,6,0.007513611033
MERLYN,631,89,6,0.007513611033
HOYT,635,88,4,0.007429188437
SAUL,635,88,4,0.007429188437
TODD,635,88,4,0.007429188437
MAXIE,635,88,5,0.007429188437
CARTER,635,88,6,0.007429188437
ROLLIN,635,88,6,0.007429188437
WAYMON,635,88,6,0.007429188437
COLEMAN,635,88,7,0.007429188437
DUNCAN,643,87,6,0.007344765841
WILBER,643,87,6,0.007344765841
RALEIGH,643,87,7,0.007344765841
ART,646,86,3,0.007260343245
GARTH,646,86,5,0.007260343245
JACKY,646,86,5,0.007260343245
DORSEY,646,86,6,0.007260343245
GRAHAM,646,86,6,0.007260343245
JUDSON,646,86,6,0.007260343245
LYNWOOD,646,86,7,0.007260343245
DONN,653,85,4,0.00717592065
DOUG,653,85,4,0.00717592065
AVERY,653,85,5,0.00717592065
REGGIE,653,85,6,0.00717592065
DOROTHY,653,85,7,0.00717592065
ALEJANDRO,653,85,9,0.00717592065
VAL,659,84,3,0.007091498054
OREN,659,84,4,0.007091498054
ELDEN,659,84,5,0.007091498054
HOBERT,659,84,6,0.007091498054
JUSTIN,659,84,6,0.007091498054
DONOVAN,659,84,7,0.007091498054
SEYMOUR,659,84,7,0.007091498054
COLUMBUS,659,84,8,0.007091498054
ISIAH,667,83,5,0.007007075458
JOYCE,667,83,5,0.007007075458
BERTRAM,667,83,7,0.007007075458
ANDRES,670,82,6,0.006922652862
JUDITH,670,82,6,0.006922652862
MEREDITH,670,82,8,0.006922652862
LACY,673,81,4,0.006838230266
STAN,673,81,4,0.006838230266
GAYLON,673,81,6,0.006838230266
OTHA,676,80,4,0.00675380767
IVORY,676,80,5,0.00675380767
SANTOS,676,80,6,0.00675380767
IGNACIO,676,80,7,0.00675380767
FRANKLYN,676,80,8,0.00675380767
MOSE,681,79,4,0.006669385074
GLYNN,681,79,5,0.006669385074
NOBLE,681,79,5,0.006669385074
GARFIELD,681,79,8,0.006669385074
STANFORD,681,79,8,0.006669385074
PATSY,686,78,5,0.006584962478
DEWITT,686,78,6,0.006584962478
VICENTE,686,78,7,0.006584962478
TOBY,689,77,4,0.006500539883
ELVIS,689,77,5,0.006500539883
MASON,689,77,5,0.006500539883
DAROLD,689,77,6,0.006500539883
RAMIRO,689,77,6,0.006500539883
ALVIS,694,76,5,0.006416117287
HERMON,694,76,6,0.006416117287
WINFORD,694,76,7,0.006416117287
BART,697,75,4,0.006331694691
KING,697,75,4,0.006331694691
EMMITT,697,75,6,0.006331694691
CORDELL,697,75,7,0.006331694691
BURT,701,74,4,0.006247272095
DONNY,701,74,5,0.006247272095
DORIS,701,74,5,0.006247272095
WALLY,701,74,5,0.006247272095
ISRAEL,701,74,6,0.006247272095
LEMUEL,701,74,6,0.006247272095
ROBBIE,701,74,6,0.006247272095
MCKINLEY,701,74,8,0.006247272095
THEADORE,701,74,8,0.006247272095
GRANVILLE,701,74,9,0.006247272095
MAC,711,73,3,0.006162849499
REGIS,711,73,5,0.006162849499
TAYLOR,711,73,6,0.006162849499
WALKER,711,73,6,0.006162849499
HARLAND,711,73,7,0.006162849499
ELDRIDGE,711,73,8,0.006162849499
WILLIAMS,711,73,8,0.006162849499
CLIFF,718,72,5,0.006078426903
CYRUS,718,72,5,0.006078426903
EMILE,718,72,5,0.006078426903
NANCY,718,72,5,0.006078426903
ORRIN,718,72,5,0.006078426903
VERLIN,718,72,6,0.006078426903
RAPHAEL,718,72,7,0.006078426903
ROSEVELT,718,72,8,0.006078426903
LONNY,726,71,5,0.005994004307
STANTON,726,71,7,0.005994004307
GUILLERMO,726,71,9,0.005994004307
CRUZ,729,70,4,0.005909581711
OMER,729,70,4,0.005909581711
ARLIN,729,70,5,0.005909581711
ARTIS,729,70,5,0.005909581711
DELTON,729,70,6,0.005909581711
LUCIUS,729,70,6,0.005909581711
MELTON,729,70,6,0.005909581711
LINCOLN,729,70,7,0.005909581711
SANTIAGO,729,70,8,0.005909581711
HANS,738,69,4,0.005825159115
FRITZ,738,69,5,0.005825159115
